date,temp,humidity,wind_speed,meanpressure,meanrainfall,dewpoint
1/1/2000,17.56,68,2.716666667,101.31,0,10.77
1/2/2000,17.47,66.94,2.24,101.25,0,10.11
1/3/2000,17.2,62.94,2.493333333,101.14,0,9.21
1/4/2000,16.99,62.38,3.29,101.17,0,8.79
1/5/2000,16.97,63.31,2.8,101.21,0,8.96
1/6/2000,16.82,62.12,2.57,101.11,0,8.69
1/7/2000,16.37,62.5,3.153333333,101.22,0,8.18
1/8/2000,15.57,56.81,2.673333333,101.23,0,6.09
1/9/2000,16.27,57.81,2.626666667,101.22,0,7.18
1/10/2000,17.41,50,1.896666667,101.19,0,5.91
1/11/2000,18,55.81,2.576666667,101.19,0,8.22
1/12/2000,19.14,54.56,2.143333333,101.15,0,8.96
1/13/2000,20.07,52.62,1.906666667,101.03,0,9.49
1/14/2000,20.94,57.56,1.876666667,100.85,0,11.82
1/15/2000,20.11,57.5,2.493333333,101.04,0,10.1
1/16/2000,20.04,56.81,2.686666667,101.22,0.78,10.69
1/17/2000,17.54,51.06,3.426666667,101.41,0,5.87
1/18/2000,15.46,44.12,2.543333333,101.42,0,2.07
1/19/2000,16.27,55.5,2.72,101.08,0,6.33
1/20/2000,17.34,54.38,2.923333333,100.92,0,6.91
1/21/2000,18.89,74.62,2.973333333,101.27,0.04,13.62
1/22/2000,20.42,70.62,1.903333333,101.24,1.48,14.32
1/23/2000,20.71,76.25,2.556666667,101.19,2.78,16.01
1/24/2000,20.03,71.56,2.373333333,101.43,1.18,13.94
1/25/2000,19.25,60.25,2.47,101.57,0,10.37
1/26/2000,19.17,58.19,2.816666667,101.52,0,9.56
1/27/2000,18.98,57.31,2.73,101.39,0,9.05
1/28/2000,20.77,44.69,1.773333333,101.32,0,7.53
1/29/2000,19.46,59.25,1.546666667,101.28,2.22,10.65
1/30/2000,18.94,52.81,1.84,101.52,0,8.39
1/31/2000,18.92,52.12,1.9,101.6,0,7.83
2/1/2000,19.58,49.38,1.606666667,101.36,0,7.54
2/2/2000,19.69,63.62,3.216666667,101.31,0.31,11.76
2/3/2000,21.65,70.81,2.156666667,101.4,0.1,15.48
2/4/2000,21.54,69.25,2.546666667,101.24,1.58,14.98
2/5/2000,20.95,75.81,2.386666667,101.12,18.29,16.12
2/6/2000,21.33,71.31,2.646666667,101.03,3.4,15.4
2/7/2000,20.23,73.56,1.96,101.09,0.65,15.05
2/8/2000,19.99,61.62,2.33,101.13,0,11.28
