date,temp,humidity,wind_speed,meanpressure,meanrainfall,dewpoint
1/1/2023,16.73,74,2.08,101.78,0,11.67
1/2/2023,17.14,72.81,2.05,101.77,0,11.72
1/3/2023,16.94,77,2.36,101.75,0,12.37
1/4/2023,15.86,80.81,2.96,101.72,0,12.27
1/5/2023,15.94,78.56,3.3,101.78,0,11.94
1/6/2023,16.3,78.25,3.42,101.75,0.03,12.13
1/7/2023,17.1,79.75,2.52,101.59,0,13.26
1/8/2023,17.98,75.81,2.09,101.52,0,13.05
1/9/2023,18.62,73.06,2.23,101.59,0,12.92
1/10/2023,18.53,71.19,2.78,101.44,0,12.43
1/11/2023,17,67.44,2.65,101.31,0,10.22
1/12/2023,16.02,67.31,2.11,101.15,0,9.42
1/13/2023,17.87,61.69,1.52,101.23,0,9.71
1/14/2023,18.62,69.81,2.04,101.15,0,12.66
1/15/2023,18.46,73.56,2.32,101.17,0,13.09
1/16/2023,17.22,70.38,2.44,101.33,0,11.39
1/17/2023,16.37,69.69,2.59,101.44,0,10.15
1/18/2023,15.62,63,2.56,101.63,0,8.03
1/19/2023,14.98,61.38,2.74,101.64,0,6.99
1/20/2023,15.66,63.5,2.05,101.53,0,8.21
1/21/2023,17.04,66.06,1.78,101.38,9.44,9.99
1/22/2023,17.88,63,2.17,101.35,0,10.26
1/23/2023,18.58,68.56,2.18,101.29,0,12.25
1/24/2023,19.39,69.06,2.47,101.32,0,12.81
1/25/2023,20.27,67,2.01,101.28,0,13.27
1/26/2023,21.03,66.94,1.86,101.18,0,14.2
1/27/2023,21.23,70.81,1.96,101.22,0,15.26
1/28/2023,21.01,72,2.28,101.19,0,15.32
1/29/2023,19.89,68,2.54,101.26,0,12.92
1/30/2023,20.94,66.12,2.14,101.33,0,13.55
1/31/2023,21.6,69.75,2.14,101.11,0,15.27
2/1/2023,21.05,61.44,3.28,101.1,0,12.98
2/2/2023,18.55,57.12,3.58,101.25,0,8.8
2/3/2023,18.62,62.69,2.89,101.15,0,10.43
2/4/2023,18.95,61.5,2.62,101.05,0,10.7
2/5/2023,19.93,51.81,1.76,101.04,0,9.2
2/6/2023,21.01,46.31,1.71,101.06,0,8.57
2/7/2023,20.88,53.31,2.43,100.98,0,10.26
2/8/2023,21.66,72,3.76,101.03,0,15.82
2/9/2023,21.9,69.56,2.08,101.11,0,15.26
2/10/2023,21.15,57.06,2.22,101.16,0,11.09
2/11/2023,21.87,49.81,2.31,101.08,0,10.28
2/12/2023,21.96,62.94,3.11,101.05,0,13.46
2/13/2023,19.42,41.81,3.51,101.21,0,4.24
2/14/2023,19.71,40.31,2.79,101.23,0,4.87
2/15/2023,20.07,42.88,2.15,101.1,0,6.18
2/16/2023,21.53,41.62,1.11,101.21,0,7.35
2/17/2023,22.16,49.81,1.46,101.37,0,10.51
2/18/2023,23.17,51.31,1.12,101.35,0,11.96
2/19/2023,23.81,49.94,1.29,101.24,0,12.24
2/20/2023,24.36,55.62,1.62,101.13,0,14.48
2/21/2023,24.6,65.69,3.63,101.11,0,17.17
2/22/2023,25.3,69.88,4.87,100.97,0.17,18.36
2/23/2023,25.11,69.31,4.28,101.03,1.39,17.73
2/24/2023,24.76,68.19,3.29,101.19,1.48,17.45
2/25/2023,24.54,54.62,2.66,101.46,0.46,13.27
2/26/2023,24.74,42.69,2.31,101.55,1.02,9.61
2/27/2023,24.76,39.44,2.26,101.48,0,8.92
2/28/2023,24.03,43.81,2.54,101.51,0,9.54
3/1/2023,23.99,47.12,2.76,101.55,0,10.86
3/2/2023,25.39,45.88,2.25,101.51,0,11.88
3/3/2023,25.87,42.69,2.61,101.49,0,11.31
3/4/2023,27.26,39.88,1.71,101.43,0,11.44
3/5/2023,27.19,42.31,1.86,101.3,0,12.41
3/6/2023,27.65,37.94,2.44,101.2,0,10.9
3/7/2023,26.72,37.12,2.71,101.26,0,9.48
3/8/2023,26.51,36.69,3.08,101.35,0,9.47
3/9/2023,26.9,41.25,3.07,101.25,0,11.8
3/10/2023,25.39,43.38,2.44,101.26,0,11.44
3/11/2023,27.37,40.75,1.95,101.24,0,12.01
3/12/2023,27.26,41.56,3.11,101.17,0.02,12.01
3/13/2023,27.83,40.25,2.73,101,0.02,11.86
3/14/2023,28.11,41,1.87,100.83,0.05,12.75
3/15/2023,27.27,58.81,3.85,100.81,1.54,17.51
3/16/2023,25.75,69.31,3.16,101.08,4.39,18.68
3/17/2023,24.96,67.38,2.57,101.16,1.34,17.65
3/18/2023,25.72,63.56,2.44,100.98,6.5,17.41
3/19/2023,23.58,77.19,2.58,100.91,11.74,19.13
3/20/2023,23.12,78.94,4.13,100.8,11.62,18.92
3/21/2023,24.28,72.81,2.64,100.79,14.17,18.51
3/22/2023,24.91,68.31,2.51,100.7,7.9,17.81
3/23/2023,25.44,66.19,2.72,100.69,1.43,17.51
3/24/2023,25.64,67.31,2.45,100.88,2.16,18.16
3/25/2023,26.23,66.06,2.31,100.92,7,18.63
3/26/2023,27.48,66.38,3.41,100.7,3.04,19.71
3/27/2023,27.65,64.88,3.4,100.69,2.33,19.48
3/28/2023,27.83,64.5,2.77,100.76,1.73,19.48
3/29/2023,26.93,70.44,3.1,100.92,13,20.48
3/30/2023,26.26,71.75,2.74,100.8,11.5,20.34
3/31/2023,25.54,81,2.11,100.81,29,21.73
4/1/2023,23.99,86.12,2.07,100.74,41.44,21.42
4/2/2023,24.91,75.31,2.37,100.58,8.11,19.75
4/3/2023,25.89,72.5,3.69,100.58,6.02,19.92
4/4/2023,27.3,72.69,4.22,100.63,2.32,21.17
4/5/2023,27.87,77,4.28,100.58,2.72,22.91
4/6/2023,28.24,66.69,2.3,100.85,1.3,20.51
4/7/2023,28.51,56.12,2.07,101.02,2.3,17.71
4/8/2023,29.4,49.12,1.23,101.11,0,16.29
4/9/2023,29.65,47.69,1.58,101.02,0.84,16.37
4/10/2023,29.54,51.44,1.89,100.86,3.36,17.52
4/11/2023,29.72,56.56,2.4,100.83,0,19.12
4/12/2023,30.07,53.06,1.87,100.72,0,17.44
4/13/2023,29.97,47,2.54,100.64,0,16.08
4/14/2023,30.8,58.12,2.02,100.62,0,19.79
4/15/2023,31.16,55.56,1.61,100.58,0,19.83
4/16/2023,31.06,56.81,2.6,100.42,0,20.1
4/17/2023,30.99,65.94,4.48,100.51,0,22.76
4/18/2023,31.47,65.94,3.86,100.63,0,23.16
4/19/2023,31.2,66.44,4.46,100.28,0.05,23.1
4/20/2023,31.44,65.69,5.09,100.02,0.89,22.94
4/21/2023,30.93,67.81,4.36,100.11,4.32,22.92
4/22/2023,30.13,63.12,3.19,100.28,2.76,20.9
4/23/2023,27.74,71.38,2.86,100.63,5.57,21.58
4/24/2023,28.8,58.44,1.21,100.91,0.04,18.73
4/25/2023,29.26,55.94,2.13,100.85,0.28,18.68
4/26/2023,30.16,50,1.54,100.67,0.02,17.76
4/27/2023,30.99,50.06,1.41,100.67,0.16,18.48
4/28/2023,29.58,55.88,1.84,100.74,7.59,19.12
4/29/2023,29.93,60.31,1.96,100.66,6.72,20.63
4/30/2023,29.2,64.38,1.49,100.59,8.71,21.31
5/1/2023,28.54,64.44,2.57,100.69,1.43,20.77
5/2/2023,29.55,58.38,1.78,100.78,0.4,19.67
5/3/2023,29.7,59.44,2.46,100.81,3.85,20.39
5/4/2023,28.67,71.19,2.56,100.73,18.86,22.51
5/5/2023,28.57,73.06,2.54,100.44,15.12,22.88
5/6/2023,29.7,69,2.44,100.32,3.41,22.69
5/7/2023,30.46,62.44,2.39,100.33,6.24,21.47
5/8/2023,31.26,51.56,2.97,100.28,0,18.45
5/9/2023,31.73,49.88,2.59,100.26,0,19.25
5/10/2023,32.05,59.5,3.27,100.34,0.04,21.94
5/11/2023,31.92,61.75,2.54,100.54,1.57,22.72
5/12/2023,30.92,62,1.37,100.56,8.38,22.16
5/13/2023,31.25,57.88,3.07,100.41,0.08,21
5/14/2023,29.27,60.19,5.48,100.02,0.11,20.05
5/15/2023,29.63,57.31,3.74,100.19,0.3,19.55
5/16/2023,30.4,68.31,4.39,100.44,10.12,23.19
5/17/2023,28.96,80.94,4.2,100.7,28.32,25.04
5/18/2023,28.17,85.12,3.46,100.78,50.34,25.28
5/19/2023,28.07,84.06,3.81,100.56,11.49,24.93
5/20/2023,29.1,80.06,4.47,100.47,4.07,24.96
5/21/2023,28.72,80.62,4.17,100.63,10.55,24.73
5/22/2023,28.34,85.25,3.71,100.68,22.85,25.49
5/23/2023,27.87,88.31,2.63,100.66,25.04,25.68
5/24/2023,27.16,86,2.78,100.58,42.13,24.47
5/25/2023,27.23,84.88,2.8,100.5,4.83,24.3
5/26/2023,28.37,83.06,2.36,100.56,9.41,25.01
5/27/2023,28.17,82.5,2.88,100.5,10.67,24.76
5/28/2023,28.8,74.94,1.01,100.57,10.46,23.66
5/29/2023,29.78,70.44,1.38,100.66,0.27,23.62
5/30/2023,30.94,66.88,1.23,100.56,0,23.87
5/31/2023,31.69,69.62,1.53,100.33,0,25.27
6/1/2023,30.41,79.5,3.42,100.21,0.04,26.26
6/2/2023,30.3,79.94,4.21,100.24,0.27,26.17
6/3/2023,30.22,80.25,3.21,100.35,1.78,26.13
6/4/2023,30.18,79.44,2.77,100.34,0.34,25.93
6/5/2023,30.19,76,1.4,100.21,0.1,25.19
6/6/2023,30.45,74.12,2,100.11,0,25.12
6/7/2023,30.98,75.44,2.6,100.06,0.21,25.73
6/8/2023,30.94,72.69,1.68,100.02,5.78,25.06
6/9/2023,28.77,83.5,1.59,99.94,39.21,25.64
6/10/2023,29.42,80.69,2.17,99.84,22.33,25.54
